北沙参,根及根茎类,伞形科植物珊瑚菜Glehnia littoralis Fr. Schmidt ex Miq.的干燥根。,主产于山东、江苏、河北、辽宁等地。,甘，微苦，微寒。,养阴清肺，益胃生津。用于肺热燥咳、劳嗽痰血、热病津伤口渴。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00004.jpg,补虚药
麦冬,根及根茎类,百合科植物麦冬Ophiopogon japonicus (Thunb.) Ker-Gawl.的干燥块根。,主产四川、浙江。,甘、微苦，凉。,滋阴生津、润肺止咳、清心除烦。主治热病伤津、心烦、口渴、咽干肺热、咳嗽、肺结核。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00084.jpg,补虚药
当归,根及根茎类,伞形科植物当归Angelica sinensis (Oliv.) Diels 的干燥根。,主产甘肃、云南、青海等地。,甘、辛，温。,补血活血，调经止痛，润肠通便。用于血虚萎黄、眩晕心悸、月经不调、经闭痛经、虚寒腹痛、肠燥便秘、风湿痹痛、跌扑损伤、痈疽疮疡。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00049.jpg,补虚药
地黄,根及根茎类,玄参科植物地黄Rehmannia glutinosa Libosch. 的新鲜或干燥块根。,主产山东、山西、河南、河北等地。,鲜地黄：甘、苦，寒。生地黄：甘，寒。熟地黄：甘，微温。,鲜地黄清热生津凉血止血；生地黄清热凉血，养阴生津；熟地黄滋阴补血，益精填髓。可用于阴虚发热，消渴，吐血，衄血，血崩，月经不调，胎动不安，阴伤便秘等症。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00050.jpg,清热药
枸杞子,果实及种子类,茄科植物宁夏枸杞Lycium barbarum L. 的干燥成熟果实。,主产于甘肃、宁夏、新疆、内蒙古、青海等地。,甘，平。,滋补肝肾，益精明目。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00227.jpg,补虚药
川楝子,果实及种子类,楝科植物川楝Melia toosendan Sieb. et Zucc.的干燥成熟果实。,主产四川、甘肃、湖北、贵州和云南等地。,苦，寒，有小毒。,舒肝行气止痛，驱虫。用于胸胁、脘腹胀痛，疝痛，虫积腹痛。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00242.jpg,理气药
红参,根及根茎类,五加科植物人参Panax ginseng C. A. Mey.的干燥根及根茎。,主产东北地区以及朝鲜半岛。,甘、微苦，温。,大补元气，固脱生津，安神。治劳伤虚损，食少，倦怠，反胃吐食，大便滑泄，虚咳喘促，自汗暴脱，惊悸，健忘，眩晕头痛，阳痿，尿频，消渴，妇女崩漏，小儿慢惊，及久虚不复，一切气血津液不足之证。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00069.jpg,补虚药
人参,根及根茎类,五加科植物人参Panax ginseng C. A. Mey.的干燥根 (栽培品) 。,主产于吉林、辽宁、黑龙江等地。,平、味甘、微苦，微温。,大补元气，复脉固脱，补脾益肺，生津止渴，安神益智。用于体虚欲脱，肢冷脉微，脾虚食少，肺虚喘咳，津伤口渴，内热消渴，久病虚赢，惊悸失眠，阳痿宫冷；心力衰竭，心原性休克。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00002.jpg,补虚药
款冬花,花类,菊科植物款冬Tussilago farfara L.的干燥花蕾。,主产甘肃、陕西、山西、河南等地。,辛、微苦，温。,化痰止咳，镇咳下气，润肺祛痰，降逆止呕。主治咳嗽，气喘，肺痿，咳吐痰血等症。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00307.jpg,化痰止咳平喘药
桑白皮,皮类,桑科植物桑Morus alba L.的干燥根皮。,主产浙江、江苏、安徽、湖南、四川等地。,甘，寒。,泻肺平喘，利水消肿。用于肺热咳喘，面目浮肿，小便不利等症。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00352.jpg,化痰止咳平喘药
桑枝,藤木类,桑科植物桑Morus alba L.的干燥嫩枝。,主产安徽、江苏、浙江、湖南、四川等地。,苦，平。,祛风湿，利关节，行水气。主治风寒湿痹，四肢拘挛，脚气浮肿，肌体风痒。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00146.jpg,祛风湿药
桔梗,根及根茎类,桔梗科植物桔梗Platycodon grandiflorum (Jacq.) A. DC.的干燥根。,主产华北、东北等地。,苦、辛，平。,宣肺、祛痰、利咽、排脓、利五脏、补气血、补五劳、养气。主治咳嗽痰多、咽喉肿痛、肺痈吐脓、胸满胁痛、痢疾腹痛、口舌生疮、目赤肿痛、小便癃闭。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00076.jpg,化痰止咳平喘药
五味子,果实及种子类,木兰科植物五味子Schisandra chinensis (Turcz.) Baill.的干燥成熟果实。,主产东北地区。,酸、甘，温。,收敛固涩，益气生津，补肾宁心。用于久嗽虚喘，梦遗滑精，遗尿尿频，久泻不止，自汗，盗汗，津伤口渴，短气脉虚，内热消渴，心悸失眠。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00211.jpg,收涩药
阿胶,动物类,马科动物驴Equus asinus L.的皮，经煎煮、浓缩制成的固体胶。,主产于山东东阿、河南、江苏、浙江等地。,甘，平。,补血，止血，滋阴润燥。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00373.jpg,补虚药
乌梅,果实及种子类,蔷薇科植物梅Prunus mume (Sieh.) Sieb. et Zucc. 的干燥近成熟果实。夏季果实近成熟时采收，低温烘干后闷至色变黑。,主产于山西、河南、河北、山东等地。,酸、涩，平。,敛肺，涩肠，生津，安蛔。用于肺虚久咳，久痢滑肠，虚热消渴，蛔厥呕吐腹痛，胆道蛔虫症。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00240.jpg,收涩药
川贝母,根及根茎类,百合科植物川贝母Fritillaria cirrhosa D. Don 的干燥鳞茎。,主产四川、云南、青海、西藏等地。,甘、苦，微寒。,清热润肺，化痰止咳。用于肺热燥咳，干咳少痰，阴虚劳嗽，咯痰带血。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00043.jpg,化痰止咳平喘药
平贝母,根及根茎类,百合科植物平贝母Fritillaria ussuriensis Maxim.的干燥鳞茎。,主产东北地区。,苦、甘，微寒。,清热润肺，化痰止咳。主治主肺热燥咳，干咳少痰，阴虚劳嗽，咯痰带血，瘰疬，乳痈等。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00090.jpg,清热药
浙贝母,根及根茎类,百合科植物浙贝母Fritillaria thunbergii Miq.的干燥鳞茎。,主产浙江、江苏、安徽、湖南等地。,苦，寒。,清热化痰，散结解毒。治风热咳嗽，肺痈喉痹，瘰疬，疮疡肿毒。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00124.jpg,化痰止咳平喘药
罂粟壳,果实及种子类,罂粟科植物罂粟Papaver somniferum L.的干燥成熟果壳。,我国由政府限定区域栽培。,酸、涩，平，有毒。,敛肺、涩肠、止痛。用于久咳、久泻，脱肛，脘腹疼痛。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00218.jpg,收涩药
羌活,根及根茎类,伞形科植物羌活Notopterygium incisum Ting ex H. T. Chang的干燥根及根茎。,主产云南、四川、青海、甘肃等地。,辛、苦，温。,散表寒；祛风湿；利关节；止痛。主治外感风寒、头痛无汗、风寒湿痹、风水浮肿、疮疡肿毒。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00092.jpg,解表药
防风,根及根茎类,伞形科植物防风Saposhnikovia divaricata (Turcz.) Schischk.的干燥根。,主产内蒙古东部地区。,辛、甘，微温。,祛风解表，胜湿止痛，止痉。用于治疗外感风寒，头痛，目眩，项强、风寒湿痹，骨节酸痛，四肢挛急，破伤风。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00054.jpg,解表药
白术,根及根茎类,菊科植物白术Atractylodes macrocephala Koidz.的干燥根茎。,主产浙江、湖南、湖北、安徽等地。,苦、甘，温。,健脾益气、燥湿利水、止汗、安胎。用于脾虚食少、腹胀泄泻、痰饮眩悸、水肿、自汗、胎动不安。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00032.jpg,补虚药
苍术,根及根茎类,菊科植物茅苍术Atractylodes lancea (Thunb.) DC.的干燥根茎。,主产浙江、湖北、江苏、河南等地。,苦、辛，温。,燥湿健脾，祛风散寒，明目。用于脘腹胀满，泄泻水肿，脚气痿躄，风湿痹痛，风寒感冒，夜盲。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00040.jpg,化湿药
细辛,根及根茎类,马兜铃科植物北细辛Asarum heterotropoides Fr. Schmidt var. mandshuricum (Maxim.) Kitag.、华细辛Asarum sieboldii Miq.及汉城细辛Asarum sieboldii Miq.var. seoulense Nakai的干燥根及根茎。,主产东北地区及江苏、湖北等地。,辛，温。,解表散寒；祛风止痛；温肺化饮；通窍。主治风寒表证；头痛，牙痛；风湿痹痛；痰饮咳喘；鼻塞；鼻渊；口疮。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00112.jpg,解表药
川芎,根及根茎类,伞形科植物川芎Ligusticum chuanxiong Hort.的干燥根茎。,主产四川、江西、湖南、湖北等地。,辛，温。,活血祛瘀；行气开郁；祛风止痛 。用于胸痹心痛，胸胁刺痛，跌扑肿痛，月经不调，经闭痛经，瘾瘕腹痛，头痛，风湿痹痛。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00047.jpg,活血化瘀药
白芷,根及根茎类,伞形科植物杭白芷Angelica dahurica (Fisch. ex Hoffm.) Benth. et Hook. f. var. formosana (Boiss.) Shan et Yuan的干燥根。,主产浙江、四川、黑龙江、吉林、辽宁等地。,辛，温。,祛风湿，活血排脓，生肌止痛。用于头痛、牙痛、鼻渊、肠风痔漏、赤白带下、痈疽疮疡、皮肤瘙痒。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00031.jpg,解表药
黄芩,根及根茎类,唇形科植物黄芩Scutellaria baicalensis Georgi 的干燥根。,主产内蒙古、山西、河北、辽宁等地。,苦，寒。,清热燥湿，泻火解毒，止血，安胎，降血压。用于湿温、暑温胸闷呕恶，湿热痞满，泻痢，黄疸，肺热咳嗽，高热烦渴，血热吐衄，痈肿疮毒，胎动不安。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00072.jpg,清热药
甘草,根及根茎类,豆科植物甘草Glycyrrhiza uralensis Fisch.的干燥根及根茎。,主产于内蒙古、山西、甘肃、新疆、宁夏等地。,甘，平。,益气补中，清热解毒，祛痰止咳，缓急止痛，调和药性。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00129.jpg,补虚药
黄柏,皮类,芸香科植物黄皮树Phellodendron chinense Schneid.的干燥树皮。习称“川黄柏”。,主产四川、重庆、贵州等地。,苦，寒。,清热燥湿，泻火除蒸，解毒疗疮。用于湿热泻痢，黄疸，带下，热淋，脚气，骨蒸劳热，盗汗，遗精，疮疡肿毒，湿疹瘙痒。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00346.jpg,清热药
半夏,根及根茎类,天南星科植物半夏Pinellia ternata (Thunb.) Breit.的干燥块茎。,主产甘肃、湖北、四川、安徽、江苏、河南，浙江等地。,辛、温，有毒。,燥湿化痰，降逆止呕，消痞散结。用于湿痰寒痰，咳喘痰多，痰饮 眩悸，风痰眩晕，痰厥头痛.呕吐反胃.胸院痞闷，梅核气；外治痛肿痰核。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00132.jpg,化痰止咳平喘药
茯苓,菌藻类,多孔菌科真菌茯苓Poria cocos (Schw.) Wolf的干燥菌核。,主产于安徽、江西、江苏、浙江等地。,甘、淡，平。,渗湿利水，健脾和胃，宁心安神。小便不利；水肿胀满；痰饮咳逆；呕吐；脾虚食少；泄泻；心悸不安；失眠健忘；遗精白浊。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00356.jpg,利水渗湿药
车前子,果实及种子类,车前科植物车前Plantago asiatica L.或平车前Plantago depressa Willd.的干燥成熟种子。,全国各地均产。,甘、淡，微寒。,清热利尿；渗湿止泻；明目；祛痰。主小便不利；淋浊带下；水肿胀满；暑湿泻痢；目赤障翳；痰热咳喘。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00163.jpg,利水渗湿药
瞿麦,全草类,石竹科植物石竹Dianthus chinensis L.以及瞿麦Dianthus superbus L.的干燥地上部分。,主产河南、河北、东北等地。,苦，寒。,利尿通淋，破血通经。用于热淋、血淋、石淋、小便不通、淋沥涩痛。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00282.jpg,利水渗湿药
滑石,矿物类,硅酸盐类矿物滑石族滑石，主成分为含水硅酸镁[Mg3 (Si4O10) (OH) 2]。,主产山东、江苏、陕西等地。,甘、淡，寒。,利尿通淋，清热解暑，祛湿敛疮。用于热淋，石淋，尿热涩痛，暑湿烦渴，湿热水泻；外治湿疹，湿疮，痱子。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00401.jpg,利水渗湿药
栀子,果实及种子类,茜草科植物栀子Gardenia jasminoides Ellis的干燥成熟果实。,主产湖北、湖南、江西、福建等地。,苦，寒。,泻火除烦；清热利湿；凉血解毒主治热病心烦；肝火目赤；头痛；湿热黄疸；淋证；血痢尿血；口舌生疮；疮疡肿毒；扭伤肿痛。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00224.jpg,清热药
木通,藤木类,木通科植物木通Akebia quinata (Thunb.) Decne.、三叶木通Akebia trifoliata (Thunb.) Koidz.及白木通Akebia trifoliata (Thunb.) Koidz. var. australis (Diels) Rehd.的干燥藤茎。,主产华东地区。,苦，微寒。,清热利尿；活血通脉。主小便赤赤；淋浊；水肿；胸中烦热；喉喉疼痛；口舌生疮；风湿痹痛；乳汁不通；经闭；痛经。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00143.jpg,利水渗湿药
大黄,根及根茎类,蓼科植物掌叶大黄Rheum palmatum L.唐古特大黄Rheum tanguticum Maxim. ex Balf. 或药用大黄Rheum officinale Baill.的干燥根及根茎。,主产于甘肃、青海、西藏、四川等地。,味苦，性寒。,攻积滞；清湿热；泻火；凉血；祛瘀；解毒。主治实热便秘；热结胸痞；湿热泻痢；黄疸；淋病；水肿腹满；小便不利；目赤；咽喉肿痛；口舌生疮；胃热呕吐；吐血；咯血；衄血；便血；尿血；蓄血；经闭；产后瘀滞腹痛；症瘕积聚；跌打损伤；热毒痈疡；丹毒；烫伤。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00006.jpg,泻下药
白芍,根及根茎类,毛茛科植物芍药Paeonia lactiflora Pall.的干燥根。,主产安徽、四川、浙江等地。,苦、酸，微寒。,养血柔肝，缓中止痛，敛阴收汗。治胸腹胁肋疼痛，泻痢腹痛，自汗盗汗，阴虚发热，月经不调，崩漏，带下。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00026.jpg,补虚药
大蓟,全草类,菊科植物蓟Cirsium japonicum Fisch. ex DC. 的干燥地上部分及根。,主产于江苏、浙江、四川等地。,甘、苦，凉。,止血凉血、祛瘀消肿。主治吐血，衄血，尿血，血淋，血崩，带下，肠风，肠痈，痈疡肿毒，疔疮。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00265.jpg,止血药
小蓟,全草类,菊科植物刺儿菜Cirsium setosum (Willd.) MB. 的干燥地上部分。,全国大部分地区均产。,甘、苦，凉。,凉血止血，祛瘀消肿。用于衄血，吐血，尿血，便血，崩漏下血，外伤出血，痈肿疮毒。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00266.jpg,止血药
荷叶,叶类,睡莲科植物莲Nelumbo nucifera Gaertn.的干燥叶。,主产福建、江苏、湖南、湖北等地。,苦，平。,清热解暑，升发清阳，凉血止血。用于暑热烦渴，暑湿泄泻，脾虚泄泻，血热吐衄，便血崩漏。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00329.jpg,清热药
侧柏叶,叶类,柏科植物侧柏Platycladus orientalis (L.) Franco的干燥枝梢及叶。,全国大部地区均产。,苦、涩，寒。,凉血，止血，祛风湿，散肿毒。治吐血、衄血、尿血、血痢、肠风、崩漏，风湿痹痛，细菌性痢疾，高血压，咳嗽，丹毒，痄腮，烫伤。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00323.jpg,止血药
白茅根,根及根茎类,禾本科植物白茅Imperata cylindrica (Linn.) P. Beauv.的干燥根茎。,主产河南、辽宁、河北、山西、山东、陕西、新疆等北方地区。,甘、寒。,凉血，止血，清热，利尿。治热病烦渴，吐血，衄血，肺热喘急，胃热哕逆，淋病，小便不利，水肿，黄疸。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00024.jpg,止血药
茜草,根及根茎类,茜草科植物茜草Rubia cordifolia L.的干燥根及根茎。,主产河南、陕西、山西等地。,苦，寒。,凉血，止血，祛瘀，通经，镇咳，祛痰。用于吐血，衄血，崩漏，外伤出血，经闭瘀阻，关节痹痛，跌扑肿痛。现代医学临床研究：可以治疗出血性疾患，慢性气管炎，慢性腹泻，风湿性关节炎，治疗软组织损伤，治疗白细胞减少症。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00091.jpg,止血药
牡丹皮,皮类,毛茛科植物牡丹Paeonia suffruticosa Andr.的干燥根皮。,主产四川、安徽、河南、山东等地。,苦、辛，微寒。,清热凉血；活血散瘀。温热病热入血分；发斑；吐衄；热病后期热伏阴分发热；阴虚骨蒸潮热；血滞经闭；痛经；痈肿疮毒；跌扑伤痛；风湿热痹。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00349.jpg,清热药
棕榈,叶类,棕榈科植物棕榈Trachycarpus fortunei (Hook.) H. Wendl.的干燥叶柄。,主产于四川、云南、贵州、湖南、湖北、陕西等地区。,苦、涩，平。,收敛止血。用于吐血，衄血，尿血，便血，崩漏。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00339.jpg,解表药
芫花,花类,瑞香科植物芫花Daphne genkwa Sieb. et Zucc.的干燥花蕾。,主产于山东、江苏、安徽等地。,甘、苦，温，有毒。,泻水逐饮，解毒杀虫。用于水肿胀满，胸腹积水，痰饮积聚，气逆喘咳，二便不利；外治疥癣秃疮，冻疮。根皮：消肿解毒，活血止痛。用于急性乳腺炎，痈疖肿毒，淋巴结结核，腹水，风湿痛，牙痛，跌打损伤。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00317.jpg,泻下药
甘遂,根及根茎类,大戟科植物甘遂Euphorbia kansui T. N. Liou ex T. P. Wang的干燥块根。,主产宁夏、陕西、山西、河南。,苦，寒，有毒。,泻水逐饮，消肿散结。用于水肿胀满，胸腹积水，痰饮积聚，气逆喘咳，二便不利，消肿散结：外用可治痈肿疮疡。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00060.jpg,泻下药
京大戟,根及根茎类,大戟科植物大戟Euphorbia pekinensis Rupr.的干燥根。,主产江苏、山西、湖北等地。,苦，寒，有毒。,泻水逐饮。用于水肿胀满，胸腹积水，痰饮积聚，气逆喘咳，二便不利。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00077.jpg,泻下药
紫苏子,果实及种子类,唇形科植物紫苏Perilla frutescens (L.) Britt.的干燥成熟果实。,主产浙江、江苏、湖北、河南等地。,辛，温。,降气消痰，平喘，润肠。用于痰壅气逆，咳嗽气喘，肠燥便秘。解表散寒，行气和胃。用于风寒感冒，咳嗽气喘，妊娠呕吐，胎动不安。又可解鱼蟹中毒。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00226.jpg,化痰止咳平喘药
莱菔子,果实及种子类,十字花科植物萝卜Raphanus sativus L.的干燥成熟种子。,各地均产。,辛、甘，平。,消食除胀，降气化痰。用于饮食停滞、脘腹胀痛、大便秘结、积滞泻痢、痰壅喘咳。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00189.jpg,消食药
苦杏仁,果实及种子类,蔷薇科植物山杏Prunus armeniaca L. var. ansu Masim.、西伯利亚杏Prunus sibirica L.、东北杏Prunus mandshurica (Maxim.) Koehne或杏Prunus armeniaca L.的干燥成熟种子。,主产辽宁、内蒙古、河北、山东等地。,苦杏仁：味苦，微温。甜杏仁：味甘、性平。,降气止咳平喘，润肠通便。用于咳嗽气喘，胸满痰多，血虚津枯，肠燥便秘。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00216.jpg,化痰止咳平喘药
通草,藤木类,五加科植物通脱木Tetrapanax papyriferus (Hook.) K. Koch的干燥茎髓。,主产四川、贵州、湖北、云南等地。,甘、淡，微寒。,清热利湿；通乳，用于淋症涩痛；小便不利；水肿；黄疸；湿温病；小便短赤；产后乳少；经闭；带下。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00147.jpg,利水渗湿药
豆蔻,果实及种子类,姜科植物白豆蔻Amomum kravanh Pierre ex Gagnep.的干燥成熟果实。,主产泰国、柬埔寨、缅甸等国。,辛，温。,化湿消痞，行气温中，开胃消食。用于湿浊中阻，不思饮食，湿温初起，胸闷不饥，寒湿呕逆，胸腹胀痛，食积不消。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00174.jpg,化湿药
淡竹叶,全草类,禾本科植物淡竹叶Lophatherum gracile Brongn.的干燥茎叶。,主产江苏、湖南、湖北等地。,甘、淡，寒。,清热泻火，除烦止渴，利尿通淋。用于热病烦渴，小便短赤涩痛，口舌生疮。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00267.jpg,清热药
厚朴,皮类,木兰科植物厚朴Magnolia officinalis Rehd. et Wils的干燥干皮、根皮以及枝皮。,主产四川、浙江、湖北、湖南等地。,苦、辛，温。,行气消积；燥湿除满；降逆平喘。主治食积气滞；腹胀便秘；湿阻中焦，脘痞吐泻；痰壅气逆；胸满喘咳。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00347.jpg,化湿药
